index,text,year
1,Trying to book tickets for watching #Dangal is starting to feel like trying to book a seat on #IndianRailways,2016
2,"General class people are traveling in sleeper class and best part is TT is also allowed them #IndianRailways 
@sureshpprabhu
 @IndianRailMedia",2016
3,"Already 16 hours in #patnarajdhani not covered even 500kms no drinking water, no food, stinking washroom.  
@sureshpprabhu
 #IndianRailways",2016
4,When will we see all the railway ticket counters equipped with card swap machines...#DeMonetisation #sureshprabhu #pmoindia #IndianRailways,2016
5,"#IndianRailways m still gonna travel wid u,  but next time i will bring dustbins and mops for d train since i m a  #trueindian",2016
6,#IndianRailways doubles compensation for those killed or injured in rail accident.Decision to be effective from 1st of January next year.,2016
7,#IRCTC #IndianRailways why no chrgng points for side berth in 2 ac Mahalaxmi? Or u presume we don't carry cell phones if we are in sd brth?,2016
8,"दिल्ली: कोहरे के चलते 100 ट्रेनें विलंब से, 48 ट्रेनों का समय बदला गया और 11 ट्रेनें रद्द
#IndianRailways",2016
9,If you have #positivethinking you can see great work being done everywhere!! From #Agni5 to #WiFi by #IndianRailways to #RBI announcement!,2016
10,"Please take injections for various ailments before travelling wid #IndianRailways 
@sureshpprabhu",2016
11,"""Chayé without Chayé. Chayé without Chayé""
#IndianRailways #teaBreak",2016
12,#Indian #aunties are the funniest characters while travelling in #IndianRailways wonder how they speak so much Non-Stop #fun,2016
13,That #train ka Dabba and this smell of home cooked #gujju food while travelling in #IndianRailways makes a journey worth it!! #fact #thought,2016
14,"रेलवे ने हादसे का मुआवजा दोगुना किया, मृतकों के परिजन को 4 लाख की जगह 8 लाख रुपये दिए जाएंगे, 1 जनवरी, 2017 से होगा लागू
#IndianRailways",2016
15,"Kripaya dhyaan dijiye, Yaha pe ab Shaadi hone ja rahi hai ! #IndianRailways",2016
16,Shame on #IndianRailways #RamBharoseHinduHotel. #Kanpur,2016
17,"Has train accidents increased in the Modi, Suresh Prabhu era? Is management getting chaotic? Can someone cull out data? #IndianRailways",2016
18,"No luggage scanning on ghaziabad railway station, vijay nagar side 
@sureshpprabhu
 @manojsinhabjp
 @drmdelhi 
@IndianRailMedia
 #IndianRailways",2016
19,"Where are the #IndianRailways behemoths. And what chance the other trains have, really, when Rajdhani is struggling like this.",2016
20,"Today #IndianRailways has a new station-Ram Mandir in Mumbai. am I supposed 2 take my footwear off while entering the station?
@sureshpprabhu",2016
21,So I am traveling via train after the longest time and I buy a ticket at 1.5 times surcharge!! #IndianRailways,2016
22,So thats when I started thinking if I should take the flight instead if I had to pay similar money.. #IndianRailways,2016
