index,text,year
23,"And here I was sitting with a couple traveling with 2 babies, having 3 seats and a couple of gentlemen who had upper berths. #IndianRailways",2016
24,"Journey from cashless to become trackless of #IndianRailways , Suresh Prabhu owes an apology for #SealdahAjmer Express Derailment #disaster",2016
25,"Good work continues from 
@sureshpprabhu
 !
WiFi in 2017 is a welcome step! #DigitalIndia 
#IndianRailways doing a great job!",2016
26,There should be some actions taken to resolve the problem of trains getting this late  #IndianRailways  we had to cancel our next train,2016
27,"#IndianRailways worse service at train management at Bandel station, Eastern rail. @RailMin_Care 
@IndianRailMedia",2016
28,"#IndianRailways 
@IRCTC_Ltd
 should allow users to opt out of insurance when booking online. Save some money guys",2016
29,"Due to fog, trains going towards Delhi and from Delhi running late #IndianRailways #foggy",2016
30,"A friend who returned from Patna narrated horrible situation of #IndianRailways. Dirty toilets, poor quality food and 17 hour late run.",2016
31,Despite huge losses Railways continue giving productivity Bonus to its employees. Wah Kya Baat hai. #IndianRailways,2016
32,One might travel business class in a flight but nothing beats the comforts of peaceful sleep in Indian railways.#indianrailways,2016
33,"It is worrisome to see the spike in derailment cases and we must open a technological solution for the same.
@sureshpprabhu
 #indianrailways",2016
34,"Unless & untill #swachbharat doesn't start penalty for spreading garbage, ppl r not gonna follow cz they r ignorant. #indianrailways",2016
35,"Good food, cleanliness & hygiene and great hospitality... Bravo #IndianRailways #gatimanexpress",2016
36,"दिल्लीः कोहरे की वजह से खराब दृश्यता के कारण कई ट्रेनें देरी से चल रही हैं और कुछ ट्रेनों को रद्द किया गया है। 
#Delhi
#IndianRailways",2016
37,I'm using free WiFi right here at kota junction thanks to #IndianRailways n well job by #indiangovernment feeling hpy in mannr we r changing,2016
38,Another derailment! AC locals & bullet trains when existing services are languishing due to lack of funds & faulty processes #IndianRailways,2016
39,"Does doubling the compensation for causalties in accidents solve purpose? #IndianRailways 
@rajtoday
 @thekavitasharma
 @mumbairailusers",2016
40,"#IndianRailways 
@sureshpprabhu
 Budget promise of internet on premium trains is still not fulfilled on 90% premium trains. Hopefully soon?",2016
41,Why are train locomotives are catching fire these days? #IndianRailways,2016
42,"Next thing I know, I'm having a confirmed seat 
@3AC
 where they didn't tell me the seat number until the morning of the train #IndianRailways",2016
43,क्या आप मानते हैं #IndianRailways में सुधार हुआ है?,2016
44,Train journeys no more make wonderful travel memories #indianrailways,2016
45,Should've  reached home seven hours ago. Should reach home five hours later. Will kill someone in frustration. Thank you #IndianRailways,2016
46,"#AjmerSaeldah एक्सप्रेस हादसा: कानपुर-नई दिल्ली शताब्दी (12033) रद्द की गई, रुट फिलहाल बंद #IndianRailways",2016
47,"Just booked a flight ticket with 
@jetairways
 , which was cheaper than the #duronto of the same day #IndianRailways  #AcheDin are here :D",2016
48,"कानपुर : पामा स्टेशन के पास हादसे से बची राप्ती सागर एक्सप्रेस। PWI सस्पेंड #Kanpur #IndianRailways 
@NBTLucknow",2016
49,"why trains are running late ! 
12628 -  KK Express 
@RailMinIndia
 
#IndianRailways",2016
50,"भदोही- ट्रेन का दरवाजा न खुलने पर नाराज रेल यात्रियों ने ज्ञानपुर रोड रेलवे स्टेशन टिकट खिड़की पर किया पथराव। 
@RailMinIndia
 #IndianRailways",2016
51,Food in #ShatabdiExpress is like having a spice juice with dollops of paneer.Dahi saves ur tummy followed by IceCream #IndianRailways,2016
52,"#IndianRailways Is pathetic in providing exact information on #delaysoftrains. It is biggest pain to passengers.
@sureshpprabhu
@PMOIndia",2016
53,#SureshPrabhu #IndianRailways Can we have high speed train shuttle services from Bengaluru to Mysore and Chennai. it can alter the economy.,2016
54,"#AjmerSaeldah एक्सप्रेस हादसा:कानपुर के पास रुरा और मैथा के बीच 15 कोच पटरी से उतरे, राहत और बचाव टीम मौके पर मौजूद #IndianRailways",2016
55,I tried the yet to be released new IRCTC android app. Much improved it is now. :) #irctc #indianrailways,2016
56,"#IndianRailways seems to be missing our 
@PMOIndia
 dream of digital India 
@sureshpprabhu
 @RailMinIndia
 @narendramodi",2016
57,Tweeting this from #pune railway station over the free Wi-Fi! Have to admit #iamimpressed with wifi speed #IndianRailways,2016
58,"#BreakingNews घने कोहरे के कारण  #IndianRailways ने 15 जनवरी, 2017 तक 78 ट्रेन रद्द करने का फैसला लिया है",2016
59,"So the #IndianRailways food guy forgot to bring me my food. Since the train doesn't have a pantry, going to sleep hungry. Merry #Christmas!",2016
60,#Nagpur-CST#Doranto express. #SureshPrabhu #IndianRailways. There is no water in the train!! High rates no facilities. Felt cheated!!!,2016
61,finally we boarded the train ! #happy #IndianRailways,2016
62,"Never ending story 
30 mins Train late sir. #IndianRailways",2016
63,Too many train derailments.. whats going on?  #TrainAccident #IndianRailways,2016
64,"3.12.1984 #IndianRailways men did not abandon their post and sacrificed their lives in the line of duty #BhopalGasTragedy 
@RailMinIndia",2016
65,".
@sureshpprabhu
 Trn running 7 hours late now. Train 15160 Saranath Express. Have been waiting for eternity at Varanasi Jn. #IndianRailways",2016
66,"Finance Minister Arun Jaitley said rail passengers need to pay for services, outlining a vision for the Indian Railways #IndianRailways",2016
67,Rey daridruda side upper iste ela ra nidrapoyyedi #IndianRailways,2016
68,"#SealdahAjmer It's damn time #IndianRailways needs a makeover. Not just with new trains,but with new & better infrastructure. 
@sureshpprabhu",2016
69,Chai adrak chai chai badiya pani vali chai chai #traindiares #IndianRailways,2016
70,"#IndianRailways parcel not unloaded at destination station. No clarity on what happens now? Kindly help.  
@sureshpprabhu
  @RailMinIndia",2016
71,"Kanchan Kanya express is dirty as hell, unclean toilets, rats more than passengers. SwachhBharat anyone? 
@sureshpprabhu
 #IndianRailways",2016
72,LGD WAP4 for INAUGURAL RUN of Tirupati Vishakapatnam Double Decker Express #IndianRailways,2016
73,"Another #theft in #IndianRailways - that too with my parents who are senior citizens 
@sureshpprabhu
 @RailMinIndia",2016
74,"Just trvld frm Kathgodam to Old Delhi, 1AC by #IndianRailways  Trrible exprnce. Drty toilts, hrd bed, no thrsh bin 
@PMOIndia
  @sureshpprabhu",2016
75,"A lower berth for a Male will always be shifted to the upper no matter however early you book it ,""the ladies effect"".
#IndianRailways #Shit",2016
76,"Loud music,gusts of air,chai & snacks &a chatty nation with all its ails, moves at a snail's pace. Joys of #travelling3tier! #IndianRailways",2016
77,"15 coaches of Sealdah-Ajmer express derailed between near Kanpur
#IndianRailways",2016
78,"Coach attendant informed us that such theft incidents are common on Mumbai - Ahmedabad route #IndianRailways 
@sureshpprabhu
 @RailMinIndia",2016
79,Free Wi-Fi service to available at 100 Railway Stations across #India by the end of 2016. #IndianRailways,2016
80,"#Delhi खराब दृश्यता के कारण 52 ट्रेनें देरी से चल रही हैं, 5 ट्रेनों के समय बदले गए हैं और एक ट्रेन रद्द की गई है।
#Fog
#IndianRailways",2016
81,"And it has begun ....debate on #demonetization in my bogey.
Sab Congress Walo ke Pass hai, BJP ki chaal hai..
 #IndianRailways.",2016
82,Connected to free wifi at #thane railway station. #IndianRailways,2016
83,"#IndianRailways increases RAC berths thanks to 
@sureshpprabhu
 @RailMinIndia",2016
84,Kurla-Ambernath train derails near Kalyan #kurlaambernath #TrainAccident #train #indianrailways #kalyan,2016
85,"2 Dead, 43 Injured After Sealdah-Ajmer Express Derails #train #KanpurRailAccident #sealdahajmerexpress #IndianRailways #trainaccident",2016
86,"AC works better in winters than in summers. 
#IndianRailways",2016
87,Trains in North India delayed by over 10+ to 24+ hrs including 12001 bhopal shatabdi #Indianrailways #fogeffect #indiafog,2016
88,"#IndianRailways doubles compensation for those killed or injured in rail accident.Decision to be effective from 1st of January next year.

…",2016
89,Man at the #IndianRailways  counter didnt have change for 2000 n he wouldn't swipe the card. Yay to #DigitalIndia ? More like #Bleh.,2016
90,"12451 Kanpur -New Delhi Shram Shakti exp. is cancelled on date 30.12.2016 #Kanpur #IndianRailways 
@NBTLucknow",2016
91,#IndianRailways doubles the compensation for those killed/ injured in rail accident with effect from Jan 1 '17 @SRajaJourno_PT,2016
92,"Hey 
@PMOIndia
 , Bfore giving us free stuff to make us book tickets online, make sure the damn #IRCTC site doesn't crash #IndianRailways",2016
93,"Deccan Queen is a bliss ! #PuneMumbaiPune #IndianRailways 
@sureshpprabhu",2016
94,#yrainupdate #delhi #foggy #IndianRailways  #டெல்லி:கடும் பனிமூட்டம் காரணமாக 22 ரயில்கள் ரத்து,2016
95,Update. #LifeFact101-I need to be given a medal for hanging on to the bars provided in the toilets.100 points for accuracy. #IndianRailways,2016
96,#SwachhBharat #IndianRailways  Many vendors to sell me food. NO ONE to collect trash. This isn't a luxury/laziness issue (AM chair car),2016
97,"#RailBudget2016's Vision 2020 will make the Indian Railways free from capacity constraints with higher train speed, punctuality & safety.",2016
98,"Major investment is required to enhance the safety of Indian Railways,finance Ministry are being pursued to revive the old safety fund",2016
99,26/ Detailed action plan has also been chalked out for retro-fitting and renovate all the Indian Railways Rolling Stock in time bound manner,2016
100,"15 coaches of Sealdah-Ajmer Express derailed. First 5, last 3 coaches intact: Indian Railways Spokesperson",2016
101,"2/Hon. PM 
@narendramodi
's dynamic leadership providing us continuous inspiration and support to work for transformation of Indian Railways",2016
102,Indian Railways Fog bharose chal rahi hai.,2016
103,"#Railminindia #sureshprabhu #IndianRailways travling wid rats,dust,in PNR:2706667818,TRAIN:22406,DOJ:16-12-16,3A,ANVT-PNBE
,G9 63,G9 59.",2016
104,Railway Minister Suresh Prabhu has requested retired CAG Vinod Rai to help in revamping safety organisation structure of Indian Railways,2016
105,"#TravelAtYourOwnRisk  #Kanpur #TrainAccident 

Time to change #IndianRailways",2016
106,#sureshprabhu #indianrailways I might nt b able to kp my phone on for long. Plz do something d points r nt working. Coach c2 seat 40.,2016
107,12016 c2 brd frm jpr Power points nt wrkn 5% btry in phn Atnd sd dey don't work. Nd hlp. Plz send electrician#sureshprabhu #IndianRailways,2016
108,Jabalpur - Pune special.. S4 toilets.. pathetic #indianrailways #IndianRailways,2016
109,I sat from Jaipur. 12016. Coach c2. Need to charge phone. Points not working. Plz help. #sureshprabhu #indianrailways,2016
110,#sureshprabhu #IndianRailways  yesterday 12596 is cancelled but today's 12595 is not cancelled.  Can this be planned please,2016
111,8 hrs taken for 3 hrs journey.  Just 194 kms.. #frustrate #IndianRailways,2016
112,#sureshprabhu  #IndianRailways  jhanshi to Lucknow is just 312 km and train took more than 8 hr to reach.Really frustrating need improvement,2016
113,#Nation Train Enquiry System App not working #SureshPrabhu #IndianRailways,2016
114,Another derailment... we sure want better existing infrastructure than the planning of bullet trains! #IndianRailways,2016
115,12034 shatabdi reschedule time 8:30 Now its 8:35 still there is no update #IndianRailways,2016
116,"If #indianrailways won any award, they would come and receive it next year.! Two years later if there's fog.!",2016
117,"#TrainAccident #SealdahAjmer 

It is high time now. Kindly bring some positive change in #IndianRailways",2016
118,"May i have ur attention plz, platform number 1 par honewali shaadi ab platform number 2 par hogi ! #IndianRailways",2016
119,Name the stations whatever you want to. At least resolve the issue of overloaded trains and traffic jams. #mumbailocal #IndianRailways,2016
120,Why do people with confirmed tickets rush & block the compartment door when the train arrives #indianrailways #MYSTERY #,2016
121,"You know you're on a train in #india when there's food every 5 mins. Living that samosa, sandwich dream. #IndianRailways #bombaytogoa",2016
122,"2/2, after receiving investigation report, it will be thrown in dust bin. And again wait for another accident. #IndianRailways #safety",2016
123,"No doubt about bio toilet installed in Indian railways, but what about the people who visits early morning railway lines.
#IndianRailways",2016
124,Enjoy feel of passenger train in our premium 12034 shathabdi. Spent 16 hours to travel 5 hours journey #IndianRailways #sureshpprabh,2016
125,"Why train's name is #Express #gujaratexpress  if is late by 1:30 hours?
#AccheDin ?
#IndianRailways 
#IRCTC 
#BJPGujarat",2016
126,"200 stations to get Wi-Fi in 2017..can't wait to pay Indian Railways for Wifi while I wait Jio,Airtel to launch decent transport facility ",2016
127,"सियालदाह- Help line no. Kanpur 0512-2323015,2323016, 2323018. 
Allahabad 0532- 2408149, 2408128, 2407353. #Derail #IndianRailways",2016
128,"After Churchgate & Masjid bunder nw we have Ram Mandir.Agla station Gurudwara, uske baad Agyari n Dherasar.#DemocraticIndia #IndianRailways",2016
129,"West Central Railway Recruitment 2017, 322 Ticket Collector and Junior Clerk Post Online 
@www
.wcr.indianrailways.gov.in",2016
130,"Nothing changed #Indianrailways continue to disappoint passengers 
@sureshpprabhu
 @mygovindia",2016
131,Why does it always happen that the train I choose for journey is stopped for long intervals to let others pass first. #IndianRailways suck.,2016
132,"As per preliminary reports, 15 coaches of Sealdah-Ajmer Express derailed. First 5, last 3 coaches intact: Indian Railways Spokesperson (ANI)",2016
133,"Railway Minister 
@sureshpprabhu
 requests retired CAG Vinod Rai to help in revamping safety organisation structure of Indian Railways: ANI",2016
134,"Insured!!! Lol #IndianRailways 
Text receipt - insurance certificate/s mailed for Jackey W, Premium Rs.0.92 Cr* #YellownRedSawari",2016
135,#TataChhapara Train #18182 - One of the most frustrating medium for a journey #IndianRailways increased prices but conditions have worsened,2016
136,What comes in your mind when you hear #IndianRailways,2016
137,"Indian Railways doubles the compensation for those killed/ injured in rail accident with effect from Jan 1 '17- ADG(PR) Railways,Anil Saxena",2016
138,"Govt pushing Digi payments, wondering why #IndianRailways charges ₹10 xtra for digital payments @ircttc as service tax,
@sureshpprabhu",2016
139,#IndianRailways #crpf #pmo #railway #biharpolice my sister travelling in nilachal exp lost her red col suitcase @ Gomoh(GMO)03:05 AM11:53 AM,2016
140,"Sports luminaries & former Olympians of Indian Railways on 28th Dec, 2016  at National Rail Museum, New Delhi Function will start at 5:45 pm",2016
141,"ಉತ್ತರ ಪ್ರದೇಶದ ಕಾನ್ಪುರ ಬಳಿ ಹಳಿ ತಪ್ಪಿದ ರೈಲು, ಪ್ರಯಾಣಿಕರಿಗೆ ಸಣ್ಣಪುಟ್ಟ ಗಾಯ
#IndianRailways",2016
142,"With zero security measures in Indian Railways, you can say its literally trust in humanity that's running the service.",2016
143,#Nagpur-CST #Doranto express. What a Journey. Entire way it was scaring the travellers with high rated jerks. #IndianRailways #SureshPrabhu,2016
144,Railway Minister Suresh Prabhu has requested retired CAG Vinod Rai to  help in revamping safety organisation structure of Indian Railways,2016
145,#SureshPrabhu #IndianRailways Only 6 bookings per month allowed on single IRCTC ID. Why force frequent travellers to create multiple IDs?,2016
146,Indian Railways Men Weightlifting team stood Runners-up in Senior National Weightlifting Championship. Heartiest congratulations to all(2/2),2016
147,"Railway Minister 
@sureshpprabhu
 requests retired CAG Vinod Rai to help in revamping safety organisation structure of Indian Railways.",2016
148,"Thank you Indian Railways for early morning entertainment. Only thing I hate is people dying. Can we have just minor injuries, please?",2016
149,"Railway Minister 
@sureshpprabhu
 reviews safety performance of Indian #Railways.",2016
150,Indian Railways now serves Oreos.Kurkure Shahi Mix.Bland Sandwich and Burnt Samose in their evening snacks.,2016
151,"Bad experience in #IndianRailways as usual. Dirty coaches, unclean blankets, that too in 1AC. Pathetic attitude from staff 
@RailMinIndia",2016
152,"Congratulations 
@sureshpprabhu
 @PMOIndia
. 
SMS based complaints redressal system  of #IndianRailways really works.",2016
153,"#kanpurrailaccident 
@sureshpprabhu
 please make #IndianRailways safe :-(",2016
154,"Financial assistance under rules being made available to victims of #SealdahAjmer Express train derailment: Anil Saxena,Indian Railways Spox",2016
155,Pune 1919/1929 ; Solapur 0412/0425 . A very special treatment for 01063 CSTM MS AC Special #Indianrailways,2016
156,Have you ever used wifi in Indian railways? Kindly quote and tell which route and train...,2016
157,Isn't vadodara supposed to have free WiFi? WiFi is there but there's no connection #IndianRailways #Vadodara,2016
158,"One thing  that hasn't changed in Indian Railways, the curtains. Eternal design!",2016
159,"FM 
@arunjaitley
 speaks at the ‘National Conference on Accounting Reforms in Indian Railways' in Delhi",2016
160,15 people injured after thirteen coaches of Ajmer-Sealdah express derail in Kanpur: Indian Railways,2016
161,Indian Railways doubles the compensation for those killed/ injured in rail accident with effect from Jan 1 '17-[ANI],2016
162,"Wife got hit by a stone between Matunga-Mahim. Nearly missed face of lady in front  
@sureshpprabhu
 @RailMinIndia
 @WesternRly
 Tweet 1/2",2016
163,"सुबह १० बजे दिल्ली पहुंचने वाली कोलकाता राजधानी १० घंटे बाद भी हापुड़ पर ही खड़ी है, खाने पीने का सामान खत्म, कृपा करो प्रभु !
@RailMinIndia",2016
164,"Flash!
Kalyan-Vithalwadi Dn track given safe at 1630 hrs.  First special local from Kalyan to Karjat left at 1643 hrs.
@RailMinIndia",2016
165,"25/ An action plan has also been chalked out for retro-fitting of existing 45,000 ICF designed coaches w/ better safety features in 3-4Yrs",2016
166,"29/ 
@sureshpprabhu
 has instructed to purchase new track machines,to use new welding Technology &to use Rolling stock fault detecting machine",2016
167,"12807 VSKP-NZM Samata  Exp leaving VSKP on  31.12.16 at 06.25 hrs is Rescheduled to leave at  08.20 hrs 
@RailMinIndia
 @eastcoastrail",2016
168,"Brief Annual Report Card of 
@RailMinIndia
:

Total 88 accidents (68 derailment)
Total 215+ deaths
1,22,736 safety related posts vacant !",2016
169,27/ Today All the Board Members including Chairman Railway Board reviewed the report submitted by this task force.,2016
170,"26/ A task force was constituted on 6th December, 2016 to recommend short/medium/long-term measures for improving the safety performance",2016
171,"What is your demand in Extn of Tiruchi-Tirunelveli 22627/28 Intercity Exp 
@GMSRailway
 @TVC138
 @drmmadurai
 @DRMTPJ
 @PonnaarrBJP
 @RailMinIndia",2016
172,"No checking in first class in Modi Raj. Please see the 1st class of 12929-30 
@RailMinIndia
 @DRMBRCWR
 @drmbct
 @RatlamDRM
 @sureshpprabhu",2016
173,"With immediate effect, Tr No.22837/22838 Hatia–Ernakulam–Hatia Wkly Superfast Exp will be named as “DHARTI-AABA EXPRESS” 
@RailMinIndia",2016
174,"Great help by Shri.Yashveer Singh, station supt. ANVT for keeping & passing our  key to my bro. #thx #respect 
@RailMinIndia
 @sureshpprabhu",2016
175,"Heard so many complaints like this on our railway refunding system,now it happened to me too:( 
@drmsbc
 @DrmChennai
 @IRCTC_Ltd
 @RailMinIndia",2016
176,"MR 
@sureshpprabhu
 emphasized on re-examination of quality of material,use of FB,AP-AT & SST-ATwelding & safety training to outsourced staff",2016
177,"Are general pasngrs not allwd in 3:56pm cst-kyn rly workrs spl? Rly workrs bully psngrs throw them out 
@GM_CRly
 @RailMinIndia
 @drmmumbaicr",2016
178,"Train got late by 2 hours
there is no reason for being late in this route
Pls expedit
PNR:2706419687,TRAIN:12986
@RailMinIndia
 
@DRMJaipur",2016
179,"Temporary stoppage to Train no. 11701/11702 JBP-INDB Intercity Exp at Khurai Stn from 16.1.17 to 29/30.1.17 @ 
@RailMinIndia
 @drmjabalpur",2016
180,"Insurance Step by Rail Ministry is good but main concern is how to stop accident .Open Rail Institute 
@RailMinIndia
 @sureshpprabhu",2016
181,"More than 5 hrs delay karmaliexpress 01040..No water,cleaning,pantry!Can v still call it a holiday special?
@sureshpprabhu
 @RailMinIndia",2016
182,".
@sureshpprabhu
 @RailMinIndia
 @DrJitendraSingh
. Please publish # Railway time table for Rs 10 # Corporate n Bollywood to bear the expenses.",2016
183,"Passengers in great trouble. Please help them out. Train no 12454 Rajdhani Express. Help! 
@sureshpprabhu
 @RailMinIndia
 @Indianrailway",2016
184,"Sir,  there had been 33% rise in derailments this fiscal.What is IR doing for passenger safety? This is scary. 
@sureshpprabhu
 @RailMinIndia",2016
185,"Traveling in Train No. 14206 in 3AC and given bed sheet dirty and looks like it unwashed. Please improve it. 
@RailMinIndia
 @sureshpprabhu",2016
186,"No water in Kerela Sampark Kranti Exp. 
Halt at Kota for 10 mins 
Pl fill water
@RailMinIndia
 @sureshpprabhu",2016
187,"What's more important for us as passengers? 
@sureshpprabhu
 @RailMinIndia
 @mumbairailusers
 @IRfacts
 @rajtoday
 @thekavitasharma
 @timesofindia",2016
188,"PNR No 825384319 
@drmpune
 @RailMinIndia",2016
189,"Is it the right time that  IR goes private or partly private? 
@mumbairailusers
 @IRfacts
 @sureshpprabhu
 @RailMinIndia
 @thekavitasharma",2016
190,"Too many failed transactions 
@IRCTC_Ltd
 Txn ID100000681302517. Refund hasn't been processed since 12/12/16.  
@RailMinIndia
 @sureshpprabhu",2016
191,"Shuttle train services are run between Ambarnath and Karjat.
@smart_mumbaikar
 @LocalPressCo
 @SV99999
 @RailMinIndia
 @RailMumbai",2016
192,"Indian railways living up to expectations...Never on time..#GomtiExpress #RunningLate  congrats 
@sureshpprabhu
 @RailMinIndia",2016
193,".
@sureshpprabhu
 .
@RailMinIndia
 12454 Ranchi Rajdhani is 14 hours late, not reached Kanpur yet.",2016
194,"Superfast WiFi at #Pune railway station. Very impressed. 
@GoogleIndia
 @RailMinIndia
 @sureshpprabhu",2016
195,"Rather than talking every time ..
@RailMinIndia
 and 
@sureshpprabhu
 must ensure timely running of trains otherwise keep ur mouth shut..",2016
196,"In train number 12723  exp  B1 pantry man are changing 10 tea. Is this write price? 
@RailMinIndia",2016
197,"TRAIN No. 11447 JBP-HWH EX- JBP SCH DEP 23:50 on 30/12/16 I.e. RE SCH DEP 02:50 on 31/12/16 ; 03:00 HRS LATE 
@RailMinIndia
 @drmjabalpur",2016
198,"17618 Nanded Mumbai Tapovan, Gen ticket Aurangabad to Mumbai Rs 120 & Pantry head taken Rs 200 rudely for sitting arrangment 
@RailMinIndia",2016
199,"रेलवे की हिंदी की ऐसी तैसी हो रही है। विरार के लिए ""जलद"" लोकल Pf क्रमांक 3 पर आ रही है। चंद साल पहले इसे ""तेज़"" लोकल बोलते थे। 
@RailMinIndia",2016
200,"Rat & Mosquito found in coach. Railway is not countributing their efforts for Swachh Bharat. PNR 2806758714 
@RailMinIndia
 @sureshpprabhu",2016
