index,text,year
1,"भारतीय रेल कभी युद्धकाल में भी नहीं रुकी
कृपया परिस्थितियों की गम्भीरता समझिए
घर में ही रहिये।",2020
2,"मैं अभी दिल्ली पटना-राजधानी में सफर कर रही हूं, मेरे पति राजा को शाम 6 बजे से पेट के दाहिने हिस्से में नीचे की तरफ दर्द है जो अब बर्दाश्त के बाहर हो गया है। 138 पर कॉल करने पर कोई फोन नहीं उठा रहा है। मेरा सीट नंबर ए 5 में 19 और 21 है। 
@RailMinIndia
 कृपया तुरंत मदद की जाए।",2020
3,"8 passengers who had travelled on AP Sampark Kranti Express from Delhi to Ramagundam on 13th March have tested positive of COVID-19 yesterday.

Passengers are advised to avoid non essential travel for the safety of fellow citizens",2020
4,"Railways has found some cases of Coronavirus infected passengers in trains which makes train travel risky. 

Avoid train travel as you may also get infected if your co-passenger has Coronavirus. 

Postpone all journeys and keep yourself and your loved ones safe. #NoRailTravel",2020
5,"Kindly note that it has been decided to withdraw curtains & blankets from AC coaches of trains as they are not washed every trip, for prevention of #coronavirus. Passengers may please bring their own blankets if need be. Inconvenience is regretted. 
@RailMinIndia
 @PiyushGoyalOffc",2020
6,"जिन मज़दूरों ने डेढ़ महीने से एक पैसा नहीं कमाया, उनसे घर जाने का किराया वसूल रहे हैं...!!!! ये महान आयडिया है किसका? राज्य सरकारें दें या या रेलवे.... या मिल कर दें. ग़रीब आदमी के ज़ख़्मों पर नमक न छिड़कें  
@RailMinIndia
 @PIBHomeAffairs
 #mondaythoughts",2020
7,Data pertaining to special trains is being fed in the IRCTC website. Train ticket bookings will be available in a short while. Please wait. Inconvenience is regretted.,2020
8,"5 ट्रीलियन की व्यवस्था का दावा करने वाले “भामाशाह” की सरकार, इतनी जल्दी इतनी कंगाल कैसे हो गयी जो देश के ग़रीब “मज़दूरों” को घर भेजने के लिये भी टिकिट की “रक़म” वसूल रही है.
@RailMinIndia
 @PMOIndia
 @INCIndia",2020
9,"#NR_NCR_ALP_JOINING_AUG2021_TRAINING 
As chairman sir have mentioned that training of all alp will be completed till Aug 2021,however No action taken by allahabad division, as official are saying they haven't received anyorder@PiyushGoyal 
@CPRONCR
 @RailMinIndia
 @PMOIndia
 @GMNCR1",2020
10,"मज़दूरों को उनके ज़िलों तक पहुँचाने के लिए कल 200 स्पेशल ट्रेन चलेंगी. दो तीन दिन में ट्रेनों की संख्या हर रोज़ 400 हो जाएगी. ये बात मज़दूरों तक पहुँचानी चाहिए. अगर कोई मज़दूर पैदल चलता दिखाई दे तो उसे रेजिस्ट्रेशन करवाने में मदद करें. 
@PiyushGoyal
 @RailMinIndia",2020
11,"हम सभी साथी अपने सदगुरु के साथ अयोध्या रामलला का दर्शन करके घर वापस जा रहे हैं।
हमारे सीट के पास  में विधर्मियो के द्वारा मीट के हड्डी और मांस के टुकड़े यत्र तत्र फैलाई गई है।
@RailMinIndia
 
@myogioffice
 
@RailMinIndia
 
@PiyushGoyalOffc",2020
12,"हम सभी रेल अप्रेंटिस का अनुरोध हैं कि माननीय रेलवे चेयरमैन 
@v_k_yadava
 RRC 01/2019 LEVEL-1 मैं हम प्रशिक्षुओं ने अपना रजिस्ट्रेशन नंबर अंकित नहीं कर पाऐ थे इससे हम लोगों को 20%का आरक्षण नहीं मिलेगा अतः चेयरमैन जी से प्रार्थना है कि दोबारा लिंक  खुलवाएं
@RailMinIndia
 @PiyushGoyal",2020
13,"महोदय, 
@v_k_yadava
  आपसे बार बार निवेदन है कि अपने वक्तव्य के अनुसार सभी  ALP का प्रशिक्षण #AUJUST2021 तक पुर्ण कराने के लिए 
@RailwayNorthern
 को आदेशित करे 
Indian railways 
@IR_CRB
 @GM_NRly
 @PiyushGoyal
 @PiyushGoyalOffc
 @PMOIndia
 @CPO_NR
 @RailMinIndia
 @DoPTGoI
 @IrpofRaman",2020
14,"#ActAppreantice 
AIRF की वर्किंग कमेटी में महामंत्री शिवगोपाल मिश्रा ने कहाकि अप्रेंटिस के मामले में लगातार रेलमंत्री, CRB से बात हुई, पर आज तक हल नही निकला, अब 12 फरवरी को राष्ट्रव्यापी आंदोलन के तहत देश भर में धरना दिया जाएगा !
@RailMinIndia
 @PiyushGoyal
 @v_k_yadava
 @IR_CRB",2020
15,"Please Provide justice to JE/SSE. 35 Years no promotion.#TimeBoundPromotion4JESSE 
@RailMinIndia
 @DoPTGoI
 @PMOIndia",2020
16,"Story of CEN 01/ 2018 (1)
STAGE 1: QUALIFIED
STAGE 2: QUALIFIED
STAGE 3: QUALIFIED
MEDICAL: A1
MAIN PANEL : QUALIFIED
JOINING LETTERS: ???
TRAINING SCHEDULE: ???
TWEET: IGNORED
@drmdelhi : NO INFO",2020
17,"बताओ ओर कितना इंतजार करें हम क्या रेलवे इंजीनियर को हक़ नही है प्रमोशन का।
 #TimeBoundPromotion4JESSE 
@PiyushGoyal
 @RailMinIndia
 @narendramodi",2020
18,"हम सभी रेल अप्रेंटिस का अनुरोध हैं कि माननीय रेलवे चेयरमैन 
@v_k_yadava
 RRC 01/2019 LEVEL-1 मैं हम प्रशिक्षुओं ने अपना रजिस्ट्रेशन नंबर अंकित नहीं कर पाऐ थे  हम लोगों को 20%का आरक्षण नहीं मिलेगा अतः चेयरमैन जी से प्रार्थना है कि दोबारा लिंक  खुलवाएं
@RailMinIndia
 @PiyushGoyalOffc",2020
19,"14619/20 छिंदवाड़ा-फिरोजपुर छावनी पातालकोट एक्सप्रेस को जल्द शुरु किया जाए ताकि यात्रियो को इस गाड़ी का लाभ मिल सके। 
@PiyushGoyal
 @secrail
 @NWRailways
 @drmdelhi 
@GM_NRly
 @drmfzr 
@RailMinIndia
 @RailwaySeva
 @drmngpsecr
 @GMSECR
 @danikbhaskar
 @frajrail
 @PiyushGoyalOffc
 @narendramodi",2020
20,"Respected Chairman sir 
@v_k_yadava
 kindly look into our training and joining of ALP SELECTED CANDIDATE from Northern railway. They are not releasing schedule to complete our training as to be completed by August 2021.
@RailMinIndia
 
@PiyushGoyal
#NR_ALP_Suicide_ko_Majboor",2020
21,".
@RailMinIndia
 Due to derailment of goods train btwn Jarati-Malliguda secn of KK line,08514 Visakhapatnam-Kirandul spl will be short terminated at Koraput & will return as 08513from Koraput to Visakhapatnam. Services of this train btwn Koraput-Kirandul will remain cancelled today",2020
22,"पूरे भारत में सभी जोन्स के लगभग सभी ALP कैंडिडेट्स की ट्रेनिंग कंप्लीट हो चुकी ह
आखिर उत्तर रेलवे ही क्यों पीछे है
@v_k_yadava
 @GM_NRly
 @RailwayNorthern
 @drmlko25 
@RailMinIndia
#NR_ALP_Suicide_ko_Majboor
#NR_Not_Follows_CEO_Railway",2020
23,"2014 में सिर्फ 5 शहरों में मेट्रो रेल थी। 

आज 18 शहरों में मेट्रो रेल की सेवा है। 

वर्ष 2025 तक हम इसे 25 से ज्यादा शहरों तक विस्तार देने वाले हैं।

- पीएम श्री 
@narendramodi
@PiyushGoyal
 @PiyushGoyalOffc
 @RailMinIndia",2020
24,"सहरसा-मानसी और पूर्णिया रेललाइन का होगा दोहरीकरण, रेल मंत्रालय ने दी हरी झंडी.
@RailMinIndia",2020
25,"Dear 
@PiyushGoyalOffc
 @RailMinIndia
 @CMOMaharashtra
 @OfficeofUT
 @AUThackeray
 @DrBhagwatKarad
 @imtiaz_jaleel
 @drmned
 @drmmumbaicr
 
 Sir. Mumbai,Pune,Bhusaval,Solapur,Nagpur under CR
When will Aurangabad be freed from the clutches of South Central Railway and join Central Railway?",2020
