Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,46357,Result Declared,Karnataka
Mandya,20,H.D. KUMARASWAMY,Janata Dal  (Secular),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620,Result Declared,Karnataka
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262,Result Declared,Karnataka
Raichur,6,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Result Declared,Karnataka
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared,Karnataka
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared,Karnataka
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared,Karnataka
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared,Karnataka
