Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
AMBALA,1,VARUN CHAUDHRY,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,49036,Result Declared,Haryana
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Bharatiya Janata Party,RAO DAN SINGH,Indian National Congress,41510,Result Declared,Haryana
FARIDABAD,10,KRISHAN PAL,Bharatiya Janata Party,MAHENDER PRATAP SINGH,Indian National Congress,172914,Result Declared,Haryana
GURGAON,9,RAO INDERJIT SINGH,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,75079,Result Declared,Haryana
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,RANJIT SINGH,Bharatiya Janata Party,63381,Result Declared,Haryana
KARNAL,5,MANOHAR LAL,Bharatiya Janata Party,DIVYANSHU BUDHIRAJA,Indian National Congress,232577,Result Declared,Haryana
KURUKSHETRA,2,NAVEEN JINDAL,Bharatiya Janata Party,DR SUSHIL GUPTA,Aam Aadmi Party,29021,Result Declared,Haryana
ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Result Declared,Haryana
SIRSA,3,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Result Declared,Haryana
SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Result Declared,Haryana
