Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
Almora,3,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097,Result Declared,Uttarakhand
Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,GANESH GODIYAL,Indian National Congress,163503,Result Declared,Uttarakhand
Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,VIRENDRA RAWAT,Indian National Congress,164056,Result Declared,Uttarakhand
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548,Result Declared,Uttarakhand
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared,Uttarakhand
