Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SHAHNAWAZ,Rashtriya Janata Dal,20094,Result Declared,Bihar
Arrah,32,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),R. K. SINGH,Bharatiya Janata Party,59808,Result Declared,Bihar
Aurangabad,37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,SUSHIL KUMAR SINGH,Bharatiya Janata Party,79111,Result Declared,Bihar
Banka,27,GIRIDHARI YADAV,Janata Dal  (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,103844,Result Declared,Bihar
Begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,81480,Result Declared,Bihar
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal  (United),AJEET SHARMA,Indian National Congress,104868,Result Declared,Bihar
Buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,30091,Result Declared,Bihar
Darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,178156,Result Declared,Bihar
Gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),KUMAR SARVJEET,Rashtriya Janata Dal,101812,Result Declared,Bihar
Gopalganj,17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,127180,Result Declared,Bihar
Hajipur,21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),SHIV CHANDRA RAM,Rashtriya Janata Dal,170105,Result Declared,Bihar
Jahanabad,36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,CHANDESHWAR PRASAD,Janata Dal  (United),142591,Result Declared,Bihar
Jamui,40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),ARCHANA KUMARI,Rashtriya Janata Dal,112482,Result Declared,Bihar
Jhanjharpur,7,RAMPRIT MANDAL,Janata Dal  (United),SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,184169,Result Declared,Bihar
Karakat,35,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),PAWAN SINGH,Independent,105858,Result Declared,Bihar
Katihar,11,TARIQ ANWAR,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal  (United),49863,Result Declared,Bihar
Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India  (Marxist),161131,Result Declared,Bihar
Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,MUJAHID ALAM,Janata Dal  (United),59692,Result Declared,Bihar
Madhepura,13,DINESH CHANDRA YADAV,Janata Dal  (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534,Result Declared,Bihar
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945,Result Declared,Bihar
