Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559,Result Declared,Tamil Nadu
ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766,Result Declared,Tamil Nadu
CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,VINOJ,Bharatiya Janata Party,244689,Result Declared,Tamil Nadu
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222,Result Declared,Tamil Nadu
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945,Result Declared,Tamil Nadu
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554,Result Declared,Tamil Nadu
COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,ANNAMALAI K,Bharatiya Janata Party,118068,Result Declared,Tamil Nadu
CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896,Result Declared,Tamil Nadu
DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300,Result Declared,Tamil Nadu
DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821,Result Declared,Tamil Nadu
ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566,Result Declared,Tamil Nadu
KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784,Result Declared,Tamil Nadu
KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473,Result Declared,Tamil Nadu
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,RADHAKRISHNAN P,Bharatiya Janata Party,179907,Result Declared,Tamil Nadu
KARUR,23,JOTHIMANI. S,Indian National Congress,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816,Result Declared,Tamil Nadu
KRISHNAGIRI,9,GOPINATH K,Indian National Congress,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486,Result Declared,Tamil Nadu
MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),RAAMA SREENIVASAN,Bharatiya Janata Party,209409,Result Declared,Tamil Nadu
MAYILADUTHURAI,28,SUDHA R,Indian National Congress,BABU P,All India Anna Dravida Munnetra Kazhagam,271183,Result Declared,Tamil Nadu
NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Result Declared,Tamil Nadu
NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Result Declared,Tamil Nadu
