Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
Barpeta,3,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,DEEP BAYAN,Indian National Congress,222351,Result Declared,Assam
Darrang-Udalguri,4,DILIP SAIKIA,Bharatiya Janata Party,MADHAB RAJBANGSHI,Indian National Congress,329012,Result Declared,Assam
Dhubri,2,RAKIBUL HUSSAIN,Indian National Congress,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1012476,Result Declared,Assam
Dibrugarh,13,SARBANANDA SONOWAL,Bharatiya Janata Party,LURINJYOTI GOGOI,Assam Jatiya Parishad,279321,Result Declared,Assam
Diphu,6,AMARSING TISSO,Bharatiya Janata Party,J. I. KATHAR,Independent,147603,Result Declared,Assam
Guwahati,5,BIJULI KALITA MEDHI,Bharatiya Janata Party,MIRA BORTHAKUR GOSWAMI,Indian National Congress,251090,Result Declared,Assam
Jorhat,14,GAURAV GOGOI,Indian National Congress,TOPON KUMAR GOGOI,Bharatiya Janata Party,144393,Result Declared,Assam
Karimganj,7,KRIPANATH MALLAH,Bharatiya Janata Party,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360,Result Declared,Assam
Kaziranga,10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,248947,Result Declared,Assam
Kokrajhar,1,JOYANTA BASUMATARY,"United People’s Party, Liberal",KAMPA BORGOYARI,Bodoland Peoples Front,51583,Result Declared,Assam
Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,UDAY SHANKAR HAZARIKA,Indian National Congress,201257,Result Declared,Assam
Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231,Result Declared,Assam
Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared,Assam
Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared,Assam
