element_index,article_index,span1,span2,span3,span4,span5,span6,time1,time2,time3,time4,time5,time6
77,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
78,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
78,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
78,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
139,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
139,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
139,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
140,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
140,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
140,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
141,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
141,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
141,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
142,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
143,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
144,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
237,0,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
238,0,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
239,0,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
340,0,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
341,0,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
342,0,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
